cik,tier,severity,signal,event_date,as_of_date,source_form,source_accession,noisy
34088,near_default,3,delisting_by_exchange,2024-06-26,2024-06-26,25-NSE,0000876661-24-000522,0
34088,stress,2,listing_rule_failure,2026-07-01,2026-07-01,8-K,0001193125-26-291986,0
34088,near_default,3,delisting_by_exchange,2026-07-02,2026-07-02,25-NSE,0000876661-26-000593,0
37996,early_warning,1,exit_or_disposal_costs,2019-02-19,2019-02-19,8-K,0000037996-19-000010,1
37996,early_warning,1,exit_or_disposal_costs,2019-03-27,2019-03-27,8-K,0000037996-19-000014,1
37996,early_warning,1,exit_or_disposal_costs,2019-06-06,2019-06-06,8-K,0000037996-19-000049,1
37996,early_warning,1,material_impairment,2019-10-01,2019-10-01,8-K,0000037996-19-000071,1
37996,early_warning,1,exit_or_disposal_costs,2021-01-11,2021-01-11,8-K,0000037996-21-000004,1
37996,early_warning,1,exit_or_disposal_costs,2021-06-28,2021-06-28,8-K,0000037996-21-000048,1
37996,early_warning,1,exit_or_disposal_costs,2021-09-09,2021-09-09,8-K,0000037996-21-000064,1
37996,early_warning,1,material_impairment,2024-08-21,2024-08-21,8-K,0000037996-24-000150,1
37996,early_warning,1,material_impairment,2025-12-15,2025-12-15,8-K,0000037996-25-000238,1
38009,near_default,3,delisting_by_exchange,2018-12-13,2018-12-13,25-NSE,0000876661-18-001324,0
38009,near_default,3,delisting_by_exchange,2019-03-11,2019-03-11,25-NSE,0000876661-19-000210,0
38009,near_default,3,delisting_by_exchange,2019-06-14,2019-06-14,25-NSE,0000876661-19-000583,0
38009,near_default,3,delisting_by_exchange,2019-12-16,2019-12-16,25-NSE,0000876661-19-001258,0
38009,near_default,3,delisting_by_exchange,2019-12-19,2019-12-19,25-NSE,0000876661-19-001280,0
38009,near_default,3,delisting_by_exchange,2020-06-02,2020-06-02,25-NSE,0000876661-20-000460,0
38009,near_default,3,delisting_by_exchange,2021-05-14,2021-05-14,25-NSE,0000876661-21-000725,0
38009,early_warning,1,exit_or_disposal_costs,2021-06-28,2021-06-28,8-K,0000038009-21-000069,1
38009,near_default,3,delisting_by_exchange,2021-12-01,2021-12-01,25-NSE,0000876661-21-001679,0
38009,near_default,3,delisting_by_exchange,2022-12-07,2022-12-07,25-NSE,0000876661-22-001102,0
38009,near_default,3,delisting_by_exchange,2023-02-17,2023-02-17,25-NSE,0000876661-23-000128,0
38009,near_default,3,delisting_by_exchange,2023-06-28,2023-06-28,25-NSE,0000876661-23-000542,0
38009,near_default,3,delisting_by_exchange,2023-11-15,2023-11-15,25-NSE,0000876661-23-000846,0
38009,near_default,3,delisting_by_exchange,2024-03-06,2024-03-06,25-NSE,0000876661-24-000132,0
38009,near_default,3,delisting_by_exchange,2024-06-14,2024-06-14,25-NSE,0000876661-24-000483,0
38009,near_default,3,delisting_by_exchange,2024-06-20,2024-06-20,25-NSE,0000876661-24-000505,0
38009,near_default,3,delisting_by_exchange,2024-07-19,2024-07-19,25-NSE,0000876661-24-000584,0
38009,near_default,3,delisting_by_exchange,2024-12-02,2024-12-02,25-NSE,0000876661-24-001119,0
