cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1357371,Breitburn Energy Partners LP,1311,2018-03-28,2018-03-28,0001357371-18-000003,https://www.sec.gov/Archives/edgar/data/1357371/000135737118000003/a20180326form8-k.htm,,,,45,2017-11-13,True,True,False,needs_review,"parsed petition 2016-05-15 is 682d from disclosure 2018-03-28; 8-K may concern a prior case, or the date is mis-parsed"
1731056,GS Mortgage Securities Trust 2018-GS9,6189,2018-03-29,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1731058,UBS Commercial Mortgage Trust 2018-C9,6189,2018-03-29,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1718483,GS Mortgage Securities Trust 2017-GS8,6189,2018-03-29,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
878802,Quadrant 4 System Corp,3669,2018-04-02,2018-04-02,0001185185-18-000580,,,,,59,2016-11-14,True,False,False,rejected,stopped reporting 504 days before the event
1404943,"MetaStat, Inc.",2834,2018-04-05,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
868725,"RENTECH, INC.",2870,2018-04-09,2018-04-09,0001193125-18-111681,https://www.sec.gov/Archives/edgar/data/868725/000119312518111681/d563929d8k.htm,,,,68,2017-11-09,True,True,False,needs_review,"parsed petition 2017-12-19 is 111d from disclosure 2018-04-09; 8-K may concern a prior case, or the date is mis-parsed"
1734103,BENCHMARK 2018-B3 COMMERCIAL MORTGAGE TRUST,6189,2018-04-10,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1134765,"Charlie's Holdings, Inc.",2833,2018-04-11,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1732963,CSAIL 2018-CX11 Commercial Mortgage Trust,6189,2018-04-18,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1731627,BANK 2018-BNK11,6189,2018-04-26,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1442626,"Bluerock Residential Growth REIT, Inc.",6798,2018-05-04,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
753772,MEDIZONE INTERNATIONAL INC,5122,2018-05-11,2018-05-11,0001185185-18-000849,https://www.sec.gov/Archives/edgar/data/753772/000118518518000849/medizone8k051018.htm,,,,52,2018-03-20,True,False,True,rejected,item 1.03 present but no Chapter 11 language in the filing
1736659,Wells Fargo Commercial Mortgage Trust 2018-C44,6189,2018-05-17,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1735733,COMM 2018-COR3 Mortgage Trust,6189,2018-05-22,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1451929,"Avant Diagnostics, Inc",8071,2018-05-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1739423,BANK 2018-BNK12,6189,2018-05-30,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1736862,UBS Commercial Mortgage Trust 2018-C10,6189,2018-05-31,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
