late_filing,auditor_change,delisting,covenant,impairment,material_weakness,going_concern,cik,as_of,label,fold
1,1,1,0,0,1,1,870826,2023-04-01,0,train
1,0,1,0,0,1,1,1785592,2022-01-01,0,train
0,1,0,0,0,0,0,723646,2020-01-01,0,train
0,0,0,0,0,0,0,1090396,2019-10-01,0,train
0,0,0,0,0,0,0,79879,2020-01-01,0,train
0,0,0,0,0,0,0,907471,2021-04-01,0,train
0,1,0,0,0,0,0,1297937,2021-07-01,0,train
0,0,0,0,0,0,0,1735948,2021-07-01,0,train
0,0,0,0,0,0,1,1596812,2019-04-01,0,train
0,0,0,0,0,0,0,21510,2019-01-01,0,train
0,0,0,0,0,1,1,1839530,2022-10-01,0,train
1,0,1,0,0,1,1,1835856,2023-04-01,0,train
0,0,0,0,0,0,0,1261333,2021-01-01,0,train
0,1,0,0,0,1,0,75679,2019-04-01,0,train
0,1,0,0,0,0,1,1689813,2020-07-01,0,train
1,0,0,0,0,1,1,1590695,2021-07-01,0,train
1,0,0,0,0,1,0,1133062,2021-01-01,0,train
0,0,0,0,0,0,1,1636282,2022-07-01,0,train
1,0,0,0,0,0,0,1381240,2019-01-01,0,train
0,0,0,0,0,0,0,94845,2019-04-01,0,train
1,0,1,0,0,1,0,1866633,2023-04-01,0,train
0,0,0,0,0,0,0,1094084,2019-01-01,0,train
1,0,1,0,0,1,1,1841004,2022-07-01,0,train
0,0,0,0,0,0,1,1516551,2019-01-01,0,train
0,0,0,0,0,1,1,725394,2020-04-01,0,train
0,0,0,0,0,1,0,1579214,2023-01-01,0,train
0,0,0,0,0,1,0,1058811,2022-01-01,0,train
0,0,0,0,0,0,0,1423869,2020-04-01,0,train
0,0,0,0,0,0,0,924805,2019-10-01,0,train
0,0,0,0,0,1,0,1435049,2023-04-01,0,train
0,0,0,0,0,0,0,1466301,2021-01-01,0,train
0,0,0,0,0,0,0,1107421,2019-07-01,0,train
0,1,0,0,0,0,0,1725579,2020-07-01,0,train
0,1,1,0,0,1,1,1836875,2023-04-01,0,train
0,0,0,0,0,1,1,1701114,2022-10-01,0,train
0,0,0,1,0,1,0,1326380,2019-10-01,0,train
0,0,1,0,0,0,0,1236275,2020-01-01,0,train
0,0,0,0,0,0,0,1075531,2021-10-01,0,train
0,0,0,0,0,1,1,1698514,2019-04-01,0,train
1,0,1,0,0,1,1,711665,2019-04-01,0,train
0,0,1,0,0,0,0,1641614,2019-07-01,0,train
0,0,0,0,0,0,0,1506756,2021-10-01,0,train
0,1,0,0,0,1,0,1721386,2021-10-01,0,train
1,0,0,0,0,0,1,1467761,2020-10-01,0,train
1,0,0,0,0,0,0,1784970,2021-07-01,0,train
0,0,0,0,0,0,0,1047862,2023-01-01,0,train
0,0,1,0,0,0,0,943034,2021-04-01,0,train
0,0,0,0,0,0,0,1762459,2023-04-01,0,train
1,0,1,0,0,0,1,924168,2021-01-01,0,train
1,0,0,0,0,0,1,1877461,2022-10-01,0,train
0,0,0,0,0,1,0,907471,2023-01-01,0,train
0,0,0,0,0,0,0,1001171,2020-10-01,0,train
0,0,0,0,0,1,0,1716166,2021-07-01,0,train
0,0,0,0,0,1,1,1636509,2020-01-01,0,train
1,0,0,0,0,1,0,792987,2019-10-01,0,train
0,0,0,0,0,1,0,1501989,2019-07-01,0,train
0,0,0,0,0,0,0,1379527,2021-04-01,0,train
0,0,0,0,0,0,1,1758009,2020-10-01,0,train
0,0,0,0,0,0,0,1175454,2021-07-01,0,train
0,0,0,0,0,0,1,1389518,2023-01-01,0,train
1,0,0,0,0,0,0,1539680,2021-01-01,0,train
0,0,0,0,0,1,0,1834376,2021-10-01,0,train
1,0,0,0,0,0,0,1629665,2023-01-01,0,train
1,0,0,0,0,0,1,1367408,2022-07-01,0,train
1,0,0,0,0,0,1,1494162,2020-04-01,0,train
0,1,0,0,0,0,0,1840776,2023-01-01,0,train
0,0,0,0,0,0,0,1331463,2019-01-01,0,train
1,0,0,0,0,1,1,1282224,2022-04-01,0,train
0,0,0,0,0,0,0,712770,2021-04-01,0,train
0,0,0,0,0,0,0,1560385,2020-01-01,0,train
0,0,0,0,0,0,0,1326732,2020-01-01,0,train
0,0,0,0,0,0,0,894671,2021-07-01,0,train
0,0,0,0,0,0,0,1355444,2019-10-01,0,train
1,0,0,0,0,1,0,1829949,2023-01-01,0,train
0,0,0,0,0,0,0,59527,2023-04-01,0,train
0,0,0,0,0,0,0,1040130,2020-04-01,0,train
0,0,0,0,0,0,0,906345,2023-04-01,0,train
1,1,0,0,0,1,1,728385,2021-10-01,0,train
1,1,0,0,0,1,1,1072842,2022-07-01,0,train
1,0,0,0,0,0,1,1577445,2019-07-01,0,train
0,0,0,0,0,0,1,1746278,2021-01-01,0,train
0,0,0,0,0,0,0,1024095,2021-01-01,0,train
0,0,0,0,0,0,0,1289945,2022-01-01,0,train
1,0,0,0,0,1,1,1830795,2022-07-01,0,train
0,1,0,0,0,0,0,1759824,2021-07-01,0,train
0,1,0,0,0,0,0,1370450,2020-01-01,0,train
1,0,0,0,0,1,1,1709542,2020-10-01,0,train
0,0,0,0,0,0,0,1610950,2022-01-01,0,train
1,0,0,0,0,1,0,84112,2022-01-01,0,train
0,0,1,0,0,0,0,943034,2021-07-01,0,train
0,0,1,0,0,0,0,1024795,2022-10-01,0,train
0,0,0,0,0,1,0,1783407,2023-04-01,0,train
0,0,0,0,0,0,0,1547546,2021-01-01,0,train
1,0,0,0,0,0,0,1597892,2023-04-01,0,train
0,0,0,0,0,0,0,1035267,2023-01-01,0,train
0,0,1,0,0,1,1,1675634,2021-10-01,0,train
0,1,0,0,0,0,1,1025771,2019-07-01,0,train
1,0,0,0,0,1,1,1412659,2020-04-01,0,train
0,0,1,1,0,1,0,1528129,2021-07-01,0,train
0,0,0,0,0,0,1,1389067,2021-04-01,0,train
0,0,0,0,0,1,0,1783407,2021-04-01,0,train
0,0,1,0,0,1,0,1327811,2019-01-01,0,train
1,1,0,0,0,1,1,1643988,2019-10-01,0,train
1,0,0,0,0,1,1,1099132,2023-01-01,0,train
0,0,0,0,0,0,0,24545,2020-07-01,0,train
0,0,0,0,0,0,0,1615063,2019-07-01,0,train
0,0,0,0,0,0,0,1477246,2019-04-01,0,train
0,0,0,0,0,0,0,1583648,2020-01-01,0,train
0,0,0,0,0,0,0,1345126,2019-04-01,0,train
1,0,0,0,0,1,1,1324736,2023-04-01,0,train
0,0,0,0,0,0,0,934612,2019-04-01,0,train
0,0,0,0,0,0,0,1649096,2019-10-01,0,train
0,0,0,0,0,1,0,1784797,2022-04-01,0,train
0,1,0,0,0,1,0,1401521,2019-10-01,0,train
